               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  93,             0.01838,           0.0048749,           0.0007066,             0.18644,             0.81741,             0.96489,             0.93166,             0.57868,            0.021073,           0.0079574,          0.00079427,             0.18408,          0.00093501,          0.00093501,          0.00093501
                  94,            0.018432,           0.0049516,          0.00060069,              0.1853,             0.90179,             0.95962,             0.94553,             0.66135,            0.017231,           0.0077055,          0.00062757,             0.18258,          0.00093363,          0.00093363,          0.00093363
                  95,            0.018196,           0.0049153,          0.00053655,             0.18407,                0.25,            0.027778,             0.13889,            0.055555,            0.046208,            0.047558,            0.061785,             0.20046,          0.00093224,          0.00093224,          0.00093224
                  96,            0.017558,           0.0051883,          0.00057087,             0.18299,                   0,                   0,                   0,                   0,            0.057866,             0.04992,            0.073764,             0.20693,          0.00093083,          0.00093083,          0.00093083
                  97,            0.017691,           0.0049943,          0.00049689,             0.18269,             0.92652,             0.96614,             0.97637,             0.48285,            0.017884,           0.0067592,           0.0002999,             0.18211,          0.00092941,          0.00092941,          0.00092941
                  98,            0.016971,           0.0046927,          0.00049407,             0.18259,             0.90773,             0.99962,             0.96632,             0.52313,            0.019136,           0.0071309,          0.00028493,               0.181,          0.00092798,          0.00092798,          0.00092798
                  99,            0.017178,           0.0047769,          0.00041187,             0.18232,             0.91604,             0.98081,             0.96761,             0.57574,            0.017593,           0.0071272,          0.00028454,             0.18039,          0.00092654,          0.00092654,          0.00092654
                 100,            0.017431,           0.0051749,          0.00046799,             0.18072,             0.84623,             0.88901,             0.90911,             0.58638,            0.019236,            0.010432,            0.001723,              0.1811,          0.00092508,          0.00092508,          0.00092508
                 101,            0.017319,           0.0051094,          0.00060357,             0.18129,                   0,                   0,                   0,                   0,            0.072928,            0.048381,             0.11559,             0.20926,          0.00092361,          0.00092361,          0.00092361
                 102,             0.01901,           0.0056428,          0.00052159,             0.17912,             0.91667,             0.45662,             0.69724,             0.40815,            0.032637,            0.033841,            0.023815,             0.20077,          0.00092212,          0.00092212,          0.00092212
                 103,            0.017573,           0.0053026,          0.00051028,             0.17926,             0.79639,             0.88478,             0.88486,             0.50306,            0.021117,            0.008748,          0.00079527,             0.18009,          0.00092063,          0.00092063,          0.00092063
                 104,            0.017557,           0.0052916,          0.00049692,             0.17841,             0.82382,             0.80717,             0.87276,             0.43571,            0.018661,           0.0077815,          0.00030039,             0.17864,          0.00091912,          0.00091912,          0.00091912
                 105,            0.018342,           0.0058348,          0.00058039,             0.17844,             0.78006,             0.89429,             0.82934,             0.41822,            0.018756,           0.0083543,          0.00022807,             0.18227,           0.0009176,           0.0009176,           0.0009176
